Mission Title,Space Walker One,Space Walker Two
STS-104,Michael Gernhardt,James Reilly
Expedition 2,Yury Usachev,James Voss
STS-100,Chris Hadfield,Scott Parazynski
STS-100,Chris Hadfield,Scott Parazynski
STS-102,Andrew Thomas,Paul Richards
STS-102,James Voss,Susan Helms
STS-98,Thomas Jones,Robert Curbeam
STS-98,Thomas Jones,Robert Curbeam
STS-98,Thomas Jones,Robert Curbeam
STS-97,Joseph Tanner,Carlos Noriega
STS-97,Joseph Tanner,Carlos Noriega
STS-97,Joseph Tanner,Carlos Noriega
STS-92,Michael Lopez-Alegria,Peter J.Wisoff
STS-92,Leroy Chiao,Bill McArthur
STS-92,Michael Lopez-Alegria,Peter J.Wisoff
STS-92,Leroy Chiao,Bill McArthur
STS-106,Edward Lu,Yuri Malenchenko
STS-101,James Voss,Jeff Williams
STS-96,Tamara Jernigan,Daniel Barry
STS-88,Jerry Ross,James Newman
STS-88,Jerry Ross,James Newman
STS-88,Jerry Ross,James Newman
