Mission Name,Spacewalkers,Year,Start Time,End Time,Duration,EVA Reason
STS-97 EVA 1,Joseph R. Tanner  Carlos I. Noriega,2000,12/3/2000 18:35,12/4/2000 2:08,"7 hours, 33 minutes","Attached the P6 truss to the Z1 Truss, and prepared the solar arrays for deployment. Prepared the radiator for the power system deployment. Attached the P6 truss to the Z1 Truss, and prepared the solar arrays for deployment. Prepared the radiator for the power system deployment. "
STS-97 EVA 2,Joseph R. Tanner  Carlos I. Noriega,2000,12/5/2000 17:21,12/5/2000 23:58,"6 hours, 37 minutes","Configured the space station to use power from the P6. Positioned the S-band antenna for use by the space station. Prepared the station for the arrival of the U. S. Laboratory, Destiny. "
STS-97 EVA 3,Joseph R. Tanner  Carlos I. Noriega,2000,12/7/2000 16:13,12/7/2000 21:23,"5 hours, 10 minutes","Positioned a floating potential probe to measure the plasma field surrounding the space station, performed repair work to increase tension in the starboard solar array blankets that did not stretch out completely during deployment, and installed a centerline camera cable outside the Unity node. "
STS-98 EVA 1,Thomas D. Jones  Robert L. Curbeam,2001,2/10/2001 15:50,2/10/2001 23:24,"7 hours, 34 minutes","Removed protective launch covers and disconnected power and cooling cables between Destiny and Atlantis, while crewmembers inside moved the 3,800-cubic-foot (110 m) laboratory from the payload bay to its home on the Unity node. Curbeam and Jones then connected electrical, data and cooling lines to the lab, during which a small amount of ammonia crystals leaked from one of the hoses, prompting a decontamination procedure. Removed protective launch covers and disconnected power and cooling cables between Destiny and Atlantis, while crewmembers inside moved the 3,800-cubic-foot (110 m) laboratory from the payload bay to its home on the Unity node. "
STS-98 EVA 2,Thomas D. Jones  Robert L. Curbeam,2001,2/12/2001 15:59,2/12/2001 22:49,"6 hours, 50 minutes","Installed the shuttle docking adapter onto Destiny, installed insulating covers over the pins that held Destiny in place during launch, attached a vent to the lab's air system, installed handrails and sockets on the exterior of Destiny, and attached a base for the future space station robotic arm. "
STS-98 EVA 3,Thomas D. Jones  Robert L. Curbeam,2001,2/14/2001 14:48,2/14/2001 20:13,"5 hours, 25 minutes","Attached a spare communications antenna to the station, double-checked connections between the Destiny lab and its docking port, released a cooling radiator on the station, inspected solar array connections at the top of the station, and tested the ability of a spacewalker to carry an immobile crew member back to the shuttle airlock. This was the 100th U.S. spacewalk. Attached a spare communications antenna to the station, double-checked connections between the Destiny lab and its docking port, released a cooling radiator on the station, inspected solar array connections at the top of the station, and tested the ability of a spacewalker to carry an immobile crew member back to the shuttle airlock. This was the 100th U.S. spacewalk. "
STS-102 EVA 1,James S. Voss  Susan J. Helms,2001,3/11/2001 5:12,3/11/2001 14:08,"8 hours, 56 minutes","Prepared Pressurized Mating Adapter-3 for repositioning from Unity’s Earth-facing berth to the port-side berth to make room for Leonardo, the Italian Space Agency-built Multi-Purpose Logistics Module. Removed a Lab Cradle Assembly from the Space Shuttle's cargo bay and installed it on the side of Destiny, and installed a cable tray to Destiny for later use by the station’s robot arm. After re-entering the shuttle's airlock, Voss and Helms remained ready to assist if any troubles installing the docking port were encountered by the crew inside the shuttle. Longest space walk in shuttle history. "
STS-102 EVA 2,Andrew S. W. Thomas  Paul W. Richards,2001,3/13/2001 5:23,3/13/2001 11:44,"6 hours, 21 minutes","Installed an External Stowage Platform for spare station parts, attached a spare ammonia coolant pump to the platform, finished connecting several cables put in place on the first EVA for the station's robotic arm. Inspected a Unity node heater connection, and inspected of an exterior experiment, the Floating Potential Probe. Installed an External Stowage Platform for spare station parts, attached a spare ammonia coolant pump to the platform, finished connecting several cables put in place on the first EVA for the station's robotic arm. Inspected a Unity node heater connection, and inspected of an exterior experiment, the Floating Potential Probe."
STS-100 EVA 1,Chris Hadfield  Scott E. Parazynski,2001,4/22/2001 11:45,4/22/2001 18:55,"7 hours, 10 minutes","Installed the station's UHF antenna, and the Canadian Space Agency made Canadarm2. Connected cables to give the arm power and allow it to accept computer commands from inside the lab. Hadfield became the first Canadian spacewalker. Installed the station's UHF antenna, and the Canadian Space Agency made Canadarm2. Connected cables to give the arm power and allow it to accept computer commands from inside the lab. Hadfield became the first Canadian spacewalker. "
STS-100 EVA 2,Chris Hadfield  Scott E. Parazynski,2001,4/24/2001 12:34,4/24/2001 20:14,"7 hours, 40 minutes","Connected the Power Data Grapple Fixture circuits for Canadarm2 onto Destiny, removed an early communications antenna, transferred a spare Direct Current Switching Unit from the shuttle's payload bay to an equipment storage rack on the outside of Destiny. "
Expedition 2,Yury Usachev  James Voss,2001,6/8/2001 14:21,6/8/2001 14:40,"0 hours, 19 minutes","Installed the docking cone onto the Zarya module, in preparation for the arrival of the Russian Pirs docking compartment. Only EVA to be conducted from the transfer compartment at the forward end of the Zvezda Service Module. "
STS-104 EVA 1,Michael L. Gernhardt  James F. Reilly,2001,7/15/2001 3:10,7/15/2001 9:09,"5 hours, 59 minutes",Installed the Quest Joint Airlock onto the Unity node. Installed the Quest Joint Airlock onto the Unity node. Installed the Quest Joint Airlock onto the Unity node. Installed the Quest Joint Airlock onto the Unity node.  
STS-104 EVA 2,Michael L. Gernhardt  James F. Reilly,2001,7/18/2001 3:04,7/18/2001 9:33,"6 hours, 29 minutes","Installed one of two high-pressure nitrogen tanks, and one of two high-pressure oxygen tanks onto Quest, and installed grapple fixture and trunnion covers."
STS-104 EVA 3,Michael L. Gernhardt  James F. Reilly,2001,7/21/2001 4:35,7/21/2001 8:37,"4 hours, 02 minutes","First EVA conducted from the Quest airlock. Installed the second high-pressure nitrogen tank, and the second oxygen tank onto the Quest airlock. First EVA conducted from the Quest airlock. Installed the second high-pressure nitrogen tank, and the second oxygen tank onto the Quest airlock."
STS-105 EVA 1,Daniel T. Barry  Patrick G. Forrester,2001,8/16/2001 13:58,8/16/2001 20:14,"6 hours, 16 minutes","Installed an Early Ammonia Servicer onto the station's P6 truss, co-location of the foot restraint in a stowed location, and installed the Materials International Space Station Experiment(MISSE)-1 and 2 containers onto the Quest airlock"
STS-105 EVA 2,Daniel T. Barry  Patrick G. Forrester,2001,8/18/2001 13:42,8/18/2001 19:11,"5 hours, 29 minutes",Installed heater cables and handrails onto the station's Destiny laboratory
Expedition 3 EVA 1,Vladimir Dezhurov  Mikhail Tyurin,2001,10/8/2001 14:24,10/8/2001 19:22,"4 hours, 58 minutes","Installed cables between the Pirs, and the Zvezda module to allow spacewalk radio communications between the two sections. Installed handrails onto Pirs, and installed an exterior ladder to assist spacewalkers leaving Pirs. Installed a Strela cargo crane."
Expedition 3 EVA 2,Vladimir Dezhurov  Mikhail Tyurin,2001,10/15/2001 9:17,10/15/2001 15:08,"5 hours, 51 minutes",Installed Russian commercial experiments (MPAC-SEEDS) onto the exterior of the Pirs docking compartment.
Expedition 3 EVA 3,Vladimir Dezhurov  Frank Culbertson,2001,11/12/2001 21:41,11/13/2001 2:46,"5 hours, 05 minutes","Connected cables on the exterior of Pirs for the Kurs automated docking system, completed checks of the Strela cargo crane, and inspected and photographed a panel of a solar array on Zvezda that had a portion of a panel not fully unfolded."
Expedition 3 EVA 4,Vladimir Dezhurov  Mikhail Tyurin,2001,12/3/2001 13:20,12/3/2001 16:06,"2 hours, 46 minutes","Removed an obstruction that prevented a Progress resupply ship from firmly docking with the station, and took pictures of the debris and of the docking interface."
STS-108,Linda M. Godwin  Daniel M. Tani,2001,12/10/2001 17:52,12/10/2001 22:04,"4 hours, 12 minutes","Installed insulating blankets around two Beta Gimbal Assemblies that rotate the station's solar array wings, and performed get-ahead tasks in preparation for STS-110's spacewalks."
Expedition 4 EVA 1,Yury Onufrienko  Carl E. Walz,2002,1/14/2002 20:59,1/15/2002 3:02,"6 hours, 03 minutes","Moved the cargo boom for the Russian Strela crane from PMA1 to the exterior of the Pirs docking compartment, installed an amateur radio antenna onto the end of Zvezda."
Expedition 4 EVA 2,Yury Onufrienko  Daniel W. Bursch,2002,1/25/2002 15:19,1/25/2002 21:18,"5 hours, 59 minutes","Installed six deflector shields for Zvezda's jet thrusters, installed a second amateur radio antenna, attached four science experiments, and retrieved and replaced a device to measure material from the thrusters."
Expedition 4 EVA 3,Carl E. Walz  Daniel W. Bursch,2002,2/20/2002 11:38,2/20/2002 17:25,"5 hours, 47 minutes","Tested the Quest airlock, and prepared it for the four spacewalks that will be performed during STS-110. The first spacewalk to be based out of Quest without a Space Shuttle at the station."
STS-110 EVA 1,Steven L. Smith  Rex J. Walheim,2002,4/11/2002 14:36,4/11/2002 22:24,"7 hours, 48 minutes","Began installing the S0 Truss onto Destiny, initial power and data connections installed between the station and S0, and installed two forward struts that permanently hold the truss in place."
STS-110 EVA 2,Jerry L. Ross  Lee Morin,2002,4/13/2002 14:09,4/13/2002 21:39,"7 hours, 30 minutes","Continued S0 Truss installation, power and data cable connections installed between S0 and the station, and installed two aft struts that permanently hold the truss in place."
STS-110 EVA 3,Steven L. Smith  Rex J. Walheim,2002,4/14/2002 13:48,4/14/2002 20:15,"6 hours, 27 minutes","Released the claw that was used in the initial attachment of the S0 Truss, installed connectors that will be used to route power to Canadarm2 when it is on the truss, released launch restraints from the Mobile Transporter, and removed a small thermal cover the Mobile Transporter's radiator."
STS-110 EVA 4,Jerry L. Ross  Lee Morin,2002,4/16/2002 14:29,4/16/2002 21:06,"6 hours, 37 minutes","Pivoted the ""Airlock Spur"", which will be used by spacewalkers in the future as a path from the airlock to the truss, installed handrails onto S0, partially assembled a platform, and installed two floodlights."
STS-111 EVA 1,Franklin Chang-Diaz  Philippe Perrin,2002,6/9/2002 15:27,6/9/2002 22:41,"7 hours, 14 minutes","Attached a Power Data Grapple Fixture to the P6 truss, removed debris panels from Endeavour's payload bay and attached them to a temporary location on PMA1, and removed thermal blankets to prepare the Mobile Base System (MBS) for installation onto the station's Mobile Transporter."
STS-111 EVA 2,Franklin Chang-Diaz  Philippe Perrin,2002,6/11/2002 15:20,6/11/2002 20:20,"5 hours, 00 minutes","Attached Mobile Base System to the Mobile Transporter, attached power, data and video cables from the station to the MBS."
STS-111 EVA 3,Franklin Chang-Diaz  Philippe Perrin,2002,6/13/2002 15:16,6/13/2002 22:33,"7 hours, 17 minutes","Replaced Canadarm2's wrist roll joint, and stowed the old joint in the shuttle's payload bay to be returned to Earth."
Expedition 5 EVA 1,Valery Korzun  Peggy Whitson,2002,8/16/2002 9:25,8/16/2002 13:48,"4 hours, 23 minutes",Installed six micro meteoroid debris panels onto Zvezda.
Expedition 5 EVA 2,Valery Korzun  Sergei Treshchev,2002,8/26/2002 5:27,8/26/2002 10:48,"5 hours, 21 minutes","Installed a frame on the outside of Zarya for spacewalk assembly tasks, installed new samples on a pair of Japanese Space Agency experiments housed on Zvezda, installed devices on Zvezda that would simplify the routing of tethers during future spacewalks, and installed two additional ham radio antennas on Zvezda."
STS-112 EVA 1,David A. Wolf  Piers J. Sellers,2002,10/10/2002 15:21,10/10/2002 22:22,"7 hours, 01 minutes","Released launch locks that held the S1 truss radiators in place during launch, attached power, data and fluid lines between the S1 truss and S0, deployed the station's second S-Band communications system, installed the first of two external camera systems, and released launch restraints on the truss' mobile spacewalk workstation, Crew and Equipment Translation Aid (CETA)."
STS-112 EVA 2,David A. Wolf  Piers J. Sellers,2002,10/12/2002 14:31,10/12/2002 20:35,"6 hours, 04 minutes","Installed a second camera system, released more radiator launch locks, removed insulation covers on quick-disconnect fittings near the Z1 and P6 junction and to install Spool Positioning Devices, released starboard-side launch restraints on the CETA cart, and attached Ammonia Tank Assembly cables."
STS-112 EVA 3,David A. Wolf  Piers J. Sellers,2002,10/14/2002 14:08,10/14/2002 20:44,"6 hours, 36 minutes","Removed and replaced the Interface Umbilical Assembly on the station's Mobile Transporter, installed two jumpers that will allow ammonia coolant to flow between the S1 and S0 Trusses, released a drag link and stowed it, and installed Spool Positioning Devices (SPD) on ammonia lines."
STS-113 EVA 1,Michael Lopez-Alegria  John Herrington,2002,11/26/2002 19:49,11/27/2002 2:34,"6 hours, 45 minutes","Initial installation of the P1 truss, installed connections between the P1 and the S0 truss, released launch restraints on the CETA cart, installed Spool Positioning Devices (SPDs) onto the station, removed a drag link on P1 that served as a launch restraint, and installed a Wireless video system External Transceiver Assembly onto the Unity node."
STS-113 EVA 2,Michael Lopez-Alegria  John Herrington,2002,11/28/2002 18:36,11/29/2002 0:46,"6 hours, 10 minutes","Installed fluid jumpers where the S0 and the P1 are attached to each other, removed the P1's starboard keel pin, installed another wireless video system External Transceiver Assembly onto the P1, and relocated the CETA cart from the P1to the S1 truss."
STS-113 EVA 3,Michael Lopez-Alegria  John Herrington,2002,11/30/2002 19:25,12/1/2002 2:25,"7 hours, 00 minutes","Installed more Spool Positioning Devices, reconfigured electrical harnesses that route power through the Main Bus Switching Units, and attached Ammonia Tank Assembly lines"
Expedition 6 EVA 1,Kenneth Bowersox  Donald Pettit,2003,1/15/2003 12:50,1/15/2003 19:41,"6 hours, 51 minutes","Released the remaining launch locks on the P1 radiator assembly, removed debris on a sealing ring of Unity's docking port, and tested an ammonia reservoir on the station's P6 truss."
Expedition 6 EVA 2,Kenneth Bowersox  Donald Pettit,2003,4/8/2003 12:40,4/8/2003 19:06,"6 hours, 26 minutes","Reconfigured cables on the S0 (S-Zero), S1 and P1 trusses, replaced a Power Control Module on the Mobile Transporter, installed Spool Positioning Devices on Destiny, and reinstalled a thermal cover on an S1 Radiator Beam Valve Module."
Expedition 8,Michael Foale  Alexander Kaleri,2004,2/26/2004 21:17,2/27/2004 1:12,"3 hours, 55 minutes","Replaced cassette containers that held sample materials for a microgravity experiment, attached the Russian experiment Matryoshka to Zvezda, and removed a JAXA micro-meteor impact experiment. Spacewalk was cut short due a cooling system malfunction in Kaleri's spacesuit."
Expedition 9 EVA 1,Gennady Padalka  Michael Fincke,2004,6/24/2004 21:56,6/24/2004 22:10,"0 hours, 14 minutes",Spacewalk cut short due to a pressure problem in Fincke's prime oxygen tank in his spacesuit. Mission managers decided to reschedule the spacewalk for June 30.
Expedition 9 EVA 2,Gennady Padalka  Michael Fincke,2004,6/30/2004 21:19,7/1/2004 2:59,"5 hours, 40 minutes","Replaced a Remote Power Controller (RPC) that failed in late April, causing a loss of power in Control Moment Gyroscope No. 2 (CMG 2)."
Expedition 9 EVA 3,Gennady Padalka  Michael Fincke,2004,8/3/2004 6:58,8/3/2004 11:28,"4 hours, 30 minutes","Removed laser retro reflectors from the Zvezda assembly compartment, and installed three updated laser retro reflectors and one internal videometer target in preparation for the Automated Transfer Vehicle (ATV). Installed two antennas, and removed and replaced Kromka experiment packages."
Expedition 9 EVA 4,Gennady Padalka  Michael Fincke,2004,9/3/2004 16:43,9/3/2004 22:04,"5 hours, 20 minutes","Replaced the Zarya Control Module flow control panel, installed four safety tether fairleads on Zarya's handrails, installed three communications antennas, and removed covers from the antennas."
Expedition 10 EVA 1,Leroy Chiao  Salizhan Sharipov,2005,1/26/2005 7:43,1/26/2005 13:11,"5 hours, 28 minutes","Completed the installation of the Universal Work Platform, mounted the European commercial experiment Rokviss (Robotic Components Verification on ISS) and its antenna, installed the Russian Biorisk experiment, and relocated a Japanese exposure experiment."
Expedition 10 EVA 2,Leroy Chiao  Salizhan Sharipov,2005,3/28/2005 6:25,3/28/2005 10:55,"4 hours, 30 minutes","Installed navigational and communications equipment for the arrival of the first Automated Transfer Vehicle (ATV), and deployed an 11-pound Russian Nanosatellite."
STS-114 EVA 1,Soichi Noguchi  Stephen K. Robinson,2005,7/30/2005 9:48,7/30/2005 17:36,"6 hours, 50 minutes","Demonstrated shuttle thermal protection repair techniques and enhancements to the Station's attitude control system. installed a base and cabling for an External Stowage Platform, rerouted power to Control Moment Gyroscope-2 (CMG-2), retrieved two exposure experiments, and replaced a faulty global positioning system antenna on the station."
STS-114 EVA 2,Soichi Noguchi  Stephen K. Robinson,2005,8/1/2005 8:42,8/1/2005 15:56,"7 hours, 14 minutes","Removed faulty CMG-1 from the Z1 truss, installed faulty CMG-1 into Discovery's payload bay, and installed new CMG-1 onto the Z1 truss segment."
STS-114 EVA 3,Soichi Noguchi  Stephen K. Robinson,2005,8/3/2005 8:48,8/3/2005 14:49,"6 hours, 1 minute","Photographed and inspected Discovery’s heat shield, removed two protruding gap fillers from between tiles in the forward area of the orbiter’s underside, and installed amateur radio satellite PCSAT2."
Expedition 11 EVA 1,Sergei Krikalev  John L. Phillips,2005,8/18/2005 19:02,8/19/2005 0:00,"4 hours, 58 minutes","Retrieved one of three canisters from the Biorisk experiment, removed Micro-Particles Capturer experiment and Space Environment Exposure Device from Zvezda, retrieved Matroska experiment, installed an Automated Transfer Vehicle (ATV) docking television camera."
Expedition 12 EVA,William S. McArthur  Valery Tokarev,2005,11/7/2005 15:32,11/7/2005 20:54,"5 hours, 22 minutes","Installed and set up the P1 Truss camera, retrieved a failed Rotary Joint Motor Controller (RJMC), jettisoned a Floating Potential Probe, and removed and replaced a remote power controller module on the Mobile Transporter. First Quest airlock-based spacewalk since April 2003."
Expedition 12 EVA 2,William S. McArthur  Valery Tokarev,2006,2/3/2006 9:55,2/3/2006 16:27,"5 hours, 43 minutes","Released SuitSat-1, retrieved the Biorisk experiment, photographed a sensor for a micrometeoroid experiment, relocated an adapter for a small crane, and tied off the surviving umbilical of the Mobile Transporter."
Expedition 13 EVA 1,Pavel Vinogradov  Jeffrey Williams,2006,6/1/2006 23:48,6/2/2006 6:19,"6 hours, 31 minutes","Repaired a vent for the station's oxygen-producing Elektron unit, retrieved a Biorisk experiment, retrieved a contamination-monitoring device from Zvezda, and replaced a malfunctioning camera on the Mobile Base System."
STS-121 EVA 1,Piers Sellers  Michael E. Fossum,2006,7/8/2006 13:17,7/8/2006 20:48,"7 hours, 31 minutes","Installed a blade blocker in the zenith Interface Umbilical Assembly (IUA) to protect the undamaged power, data and video cable, rerouted the cable to prepare for the second EVA. Tested the combination of the Space Shuttle Canadarm(SRMS) and the Orbiter Boom Sensor System (OBSS) as a platform for astronauts to make repairs to a damaged orbiter."
STS-121 EVA 2,Piers Sellers  Michael E. Fossum,2006,7/10/2006 12:14,7/10/2006 19:01,"6 hours, 47 minutes","Restored the International Space Station's Mobile Transporter rail car to full operation, and delivered a spare pump module for the station's cooling system. Sellers' SAFER pack came loose during the EVA, requiring Fossum to stop twice during the spacewalk to secure the pack with safety tethers."
STS-121 EVA 3,Piers Sellers  Michael E. Fossum,2006,7/12/2006 7:11,7/12/2006 13:31,"7 hours, 11 minutes","Used an infrared camera to shoot 20 seconds of video of selected reinforced carbon-carbon (RCC) panels on the shuttle wing's leading edge, and then moved to the payload bay to test a shuttle tile repair material known as NOAX on pre-damaged shuttle tiles that were flown in a test container."
Expedition 13 EVA 2,Jeffrey Williams  Thomas Reiter,2006,8/3/2006 14:04,8/3/2006 19:58,"5 hours, 54 minutes","Installed: The Floating Potential Measurement Unit (FPMU), two materials on Materials International Space Station Experiment (MISSE) containers, a controller for a thermal radiator rotary joint on the S1 truss, a starboard jumper and spool positioning device (SPD) on S1, a light on the truss railway handcart, and installed and replaced a malfunctioning GPS antenna. Tested an infrared camera designed to detect damage in a shuttle's reinforced carbon-carbon (RCC) thermal protection tiles. Inspection and photography of a scratch on the Quest airlock hatch."
STS-115 EVA 1,Joe Tanner  Heidemarie Stefanyshyn-Piper,2006,9/12/2006 10:17,9/12/2006 15:43,"6 hours, 26 minutes","Initial installation of the P3/P4 truss onto the space station. Connected power cables on the truss, released the launch restraints on the solar array blanket box, the Beta Gimbal Assembly, and the solar array wings. Configured the Solar Alpha Rotary Joint (SARJ), and removed two circuit interrupt devices to prepare for STS-116. Piper became the seventh American woman to conduct a spacewalk."
STS-115 EVA 2,Dan Burbank  Steve MacLean,2006,9/13/2006 9:05,9/13/2006 16:16,"7 hours, 11 minutes","Continued installation of the P3/4 truss onto the station, and activated the SARJ."
STS-115 EVA 3,Joe Tanner  Heidemarie Stefanyshyn-Piper,2006,9/15/2006 10:00,9/15/2006 16:42,"6 hours, 42 minutes","Installed a radiator onto the P3/4 truss, powered up a cooling radiator for the new solar arrays, replaced an S-Band radio antenna, and installed insulation for another antenna. Tanner took photos of the shuttle's wings using an infrared camera to test the camera's ability to detect damage."
Expedition 14 EVA 1,Mikhail Tyurin  Michael Lopez-Alegria,2006,11/22/2006 23:17,11/23/2006 4:55,"5 hours, 38 minutes","""Orbiting golf shot"" event sponsored by a Canadian golf company through the Russian Federal Space Agency. Lopez-Alegria put the tee on the ladder outside Pirs, while Tyurin set up a camera, and then performed the golf shot. Inspected and photographed a Kurs antenna on Progress 23, relocated an Automated Transfer Vehicle (ATV) WAL antenna, installed a BTN neutron experiment, and jettisoned two thermal covers from the BTN."
STS-116 EVA 1,Robert Curbeam  Christer Fuglesang,2006,12/12/2006 20:31,12/13/2006 3:07,"6 hours, 36 minutes","Installed the ISS P5 Truss, and replaced a video camera on the S1 truss."
STS-116 EVA 2,Robert Curbeam  Christer Fuglesang,2006,12/14/2006 19:41,12/15/2006 0:41,"5 hours, 00 minutes","Reconfigured the station's electrical wiring, channels 2–3 on the P3/P4 truss to take advantage of the new solar arrays, relocated two handcarts that run along rails on the station's main truss, put a thermal cover on the station's robotic arm, and installed bags of tools for future spacewalkers."
STS-116 EVA 3,Robert Curbeam  Sunita Williams,2006,12/16/2006 19:25,12/17/2006 2:57,"7 hours, 31 minutes","Completed rewiring the station's electrical system, circuits 1 and 4, to take advantage of the P3/P4 solar array power, installed a robotic arm grapple fixture, and positioned three bundles of Russian debris shield panels outside Zvezda. Additional time was spent trying to help retract the P6 solar array panel by shaking the panel's blanket box from its base. (Williams became the 8th American woman to perform an EVA, and the 9th woman spacewalker.)"
STS-116 EVA 4,Robert Curbeam  Christer Fuglesang,2006,12/18/2006 19:00,12/19/2006 1:38,"6 hours, 38 minutes","Assisted ground controllers with retracting the P6 solar array panels. Curbeam, on his seventh spacewalk, set a single-flight EVA record with four spacewalks in a single shuttle mission."
Expedition 14 EVA 2,Michael Lopez-Alegria  Sunita Williams,2007,1/31/2007 15:14,1/31/2007 23:09,"7 hours, 55 minutes","Reconfigured one of the two cooling loops serving Destiny from the temporary to permanent system, connected a cable for the Station-to-Shuttle Power Transfer System (SSPTS), installed six cable cinches and two winch bars to secure the starboard radiator of the P6 Truss, and then installed a shroud over it. Removed one of two fluid lines from the Early Ammonia Servicer (EAS) on the P6 Truss. The EAS would be jettisoned during a later EVA."
Expedition 14 EVA 3,Michael Lopez-Alegria  Sunita Williams,2007,2/4/2007 13:38,2/4/2007 20:49,"7 hours, 11 minutes","Reconfigured the second of the two cooling loops serving Destiny from the temporary to permanent system, completed work with the Early Ammonia Servicer (EAS) on the P6 Truss, photographed the inboard end of the P6 starboard solar wing in preparation for its retraction during STS-117, removed a sunshade from a multiplexer-demultiplexer data relay device, and continued work on the SSPTS."
Expedition 14 EVA 4,Michael Lopez-Alegria  Sunita Williams,2007,2/8/2007 13:26,2/8/2007 20:06,"6 hours, 40 minutes","Removed two thermal shrouds on two Rotary Joint Motor Controllers (RJMC) on the P3 truss, removed two large shrouds from P3 Bays 18 and 20, and jettisoned the shrouds away from the station. Deployed an Unpressurized Cargo Carrier Assembly Attachment System (UCCAS) on the upper face of the P3 truss, removed two launch locks from the P5 truss, and connected four cables of the SSPTS to the Pressurized Mating Adapter (PMA-2) at the forward end of Destiny where shuttles dock."
Expedition 14 EVA 5,Mikhail Tyurin  Michael Lopez-Alegria,2007,2/22/2007 10:27,2/22/2007 16:45,"6 hours, 18 minutes","Retracted the antenna of the Progress cargo carrier at the aft port of the Zvezda service module, photographed a Russian satellite navigation antenna, and replaced a Russian materials experiment, inspected and photographed an antenna for the Automated Transfer Vehicle (ATV), photographed a German robotics experiment, and inspected, remated, and photographed hardware connectors."
Expedition 15 EVA 1,Fyodor Yurchikhin  Oleg Kotov,2007,5/30/2007 19:05,5/31/2007 0:30,"5 hours, 25 minutes",Installed Service Module Debris Protection (SMDP) panels and rerouted a Global Positioning System antenna cable.
Expedition 15 EVA 2,Fyodor Yurchikhin  Oleg Kotov,2007,6/6/2007 14:23,6/6/2007 20:00,"5 hours, 37 minutes","Installed a section of Ethernet cable on the Zarya module, installed additional Service Module Debris Protection (SMDP) panels on Zvezda, and deployed a Russian scientific experiment."
